ts_slot,acc_rms_axial,acc_rms_radial,acc_rms_tangential,bearing_condition,looseness_beta,misalignment_beta,motor_supply_freq,num_starts_betw_meas,output_power,overall_vibration,peak_to_peak,peak_to_peak_axial,peak_to_peak_radial,peak_to_peak_tangential,skin_temp,speed,total_num_starts,total_run_time,unbalance_beta,vibration_axial,vibration_radial,vibration_tangential
2025-08-11 02:45:00-05:00,0.7041,0.1873,0.5645,1.0,0.0,0.0,36.16,0.0,100.56,2.984,1.2021,4.2461,1.2021,3.082,44.6,1078.3,87.0,5.6,1.0,1.04,2.984,2.346
2025-08-11 03:00:00-05:00,0.6943,0.1898,0.5566,1.0,0.0,0.0,36.16,0.0,105.04,2.973,1.083,4.125,1.083,3.0918,44.0,1078.0,87.0,5.9,1.0,1.062,2.973,2.307
2025-08-11 03:15:00-05:00,0.6714,0.1941,0.561,1.0,0.0,0.0,36.12,0.0,87.49,2.992,1.2012,4.0938,1.2012,2.9609,43.1,1078.2,87.0,6.1,1.0,1.036,2.992,2.293
2025-08-11 03:30:00-05:00,0.6812,0.1938,0.5596,1.0,0.0,0.0,36.16,0.0,97.98,3.021,1.2432,4.2617,1.2432,3.0137,44.2,1078.4,87.0,6.4,1.0,1.046,3.021,2.344
2025-08-11 03:45:00-05:00,0.7212,0.183,0.5464,1.0,0.0,0.0,36.16,0.0,95.58,3.004,1.0576,4.2656,1.0576,2.9375,44.7,1078.6,87.0,6.6,1.0,0.991,3.004,2.33
2025-08-11 04:00:00-05:00,0.7402,0.179,0.543,1.0,0.0,0.0,36.16,0.0,96.72,3.035,1.0518,4.4766,1.0518,2.9238,45.0,1078.5,87.0,6.9,1.0,1.093,3.035,2.316
2025-08-11 04:15:00-05:00,0.6948,0.1919,0.563,1.0,0.0,0.0,36.12,0.0,78.47,3.049,1.1123,4.0391,1.1123,3.041,43.6,1078.7,87.0,7.1,1.0,1.011,3.049,2.334
2025-08-11 04:30:00-05:00,0.6685,0.1941,0.5688,1.0,0.0,0.0,36.16,0.0,98.79,3.084,1.1533,4.0273,1.1533,3.0566,43.1,1078.4,87.0,7.4,1.0,1.032,3.084,2.391
2025-08-11 04:45:00-05:00,0.6665,0.1941,0.563,1.0,0.0,0.0,36.16,0.0,98.29,3.104,1.1641,4.5273,1.1641,3.1172,42.2,1078.4,87.0,7.6,1.0,1.051,3.104,2.338
2025-08-11 05:00:00-05:00,0.6626,0.1925,0.5679,1.0,0.0,0.0,36.16,0.0,101.21,3.109,1.1914,3.8496,1.1914,3.1719,42.9,1078.2,87.0,7.9,1.0,1.05,3.109,2.344
2025-08-11 05:15:00-05:00,0.667,0.1946,0.5649,1.0,0.0,0.0,36.16,0.0,101.28,3.133,1.1406,4.0391,1.1406,3.0625,43.2,1078.2,87.0,8.1,1.0,1.103,3.133,2.439
2025-08-11 05:30:00-05:00,0.6938,0.189,0.5601,1.0,0.0,0.0,36.16,0.0,95.41,3.164,1.1328,4.2148,1.1328,3.082,43.6,1078.6,87.0,8.4,1.0,1.07,3.164,2.4
2025-08-11 05:45:00-05:00,0.6597,0.1948,0.5664,1.0,0.0,0.0,36.16,0.0,98.4,3.199,1.1855,3.8047,1.1855,3.0645,42.8,1078.4,87.0,8.6,1.0,1.095,3.199,2.49
2025-08-11 06:00:00-05:00,0.6782,0.1945,0.5752,1.0,0.0,0.0,36.16,0.0,97.32,3.18,1.1514,4.2305,1.1514,3.1191,43.6,1078.5,87.0,8.9,1.0,1.079,3.18,2.449
2025-08-11 06:15:00-05:00,0.7134,0.187,0.5605,1.0,0.0,0.0,36.16,0.0,99.53,3.174,1.1309,4.1953,1.1309,3.0059,44.2,1078.3,87.0,9.1,1.0,1.157,3.174,2.514
